code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004506,Wandsworth 011A,Wandsworth,0.0,1.0,8.0,0.0,15.0,5.0,54.0,6.0,3.0,28.0,20.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.00015556788999999998,0.0008594930999999999,5.168386e-06,8.2797915e-06,0.7499403,0.017670667
E01004507,Wandsworth 014E,Wandsworth,1.0,5.0,5.0,0.0,14.0,5.0,43.0,4.0,0.0,10.0,8.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.00022760051,0.0010713985,0.00047296715999999993,2.9821128e-06,0.0,0.38200676,0.020114386
E01004508,Wandsworth 012A,Wandsworth,0.0,5.0,18.0,0.0,24.0,4.0,48.0,1.0,1.0,11.0,11.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.009310479,0.0016439205999999999,0.07319988,1.0,1.2226259e-05,1.6458842e-05,0.008053658,0.0
E01004509,Wandsworth 010A,Wandsworth,1.0,7.0,32.0,0.0,38.0,16.0,107.0,14.0,5.0,43.0,31.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.8248077999999998e-08,2.1273355000000002e-08,0.0,0.024586443,3.248301e-14,1.0,1.9068881999999999e-06,0.8854337999999999
E01004510,Wandsworth 012B,Wandsworth,1.0,4.0,2.0,0.0,1.0,2.0,25.0,0.0,0.0,14.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.4356928e-05,7.964645e-06,4.5707336e-09,1.1331056000000001e-07,3.8514708e-07,1.7219688e-12,0.0
E01004513,Wandsworth 018B,Wandsworth,1.0,2.0,3.0,1.0,5.0,3.0,12.0,1.0,3.0,10.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.594573000000001e-21,1.0,3.5034486e-07,0.0,5.301512e-06,2.1081279e-17,1.4834496999999998e-21,2.0559829e-13
E01004514,Wandsworth 012C,Wandsworth,0.0,3.0,4.0,0.0,7.0,8.0,27.0,2.0,3.0,15.0,11.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.36498058,0.0016258317000000001,8.796734599999999e-05,1.0,3.957886e-06,8.570386e-06,1.33792e-07,0.0
E01004516,Wandsworth 036A,Wandsworth,2.0,1.0,1.0,0.0,4.0,0.0,10.0,9.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,5.594573000000001e-21,1.0,3.5034486e-07,0.0,5.301512e-06,2.1081279e-17,1.4834496999999998e-21,2.0559829e-13
E01004517,Wandsworth 037A,Wandsworth,0.0,2.0,8.0,0.0,17.0,4.0,52.0,2.0,0.0,17.0,17.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.40915865,0.031111734,1.7668588e-06,5.2162466e-07,0.00029357878,0.0014190301000000002,1.0,0.0
E01004518,Wandsworth 036B,Wandsworth,0.0,2.0,2.0,0.0,6.0,0.0,22.0,2.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004519,Wandsworth 036C,Wandsworth,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.2024740000000002e-05,1.776331e-06,0.0,0.119021945,1.0044776e-05,1.8698643e-07,1.0,7.0945747e-09
E01004520,Wandsworth 036D,Wandsworth,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004522,Wandsworth 037C,Wandsworth,0.0,2.0,6.0,0.0,7.0,5.0,21.0,1.0,0.0,9.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49542904,8.474456e-06,3.565345e-09,8.448443e-06,1.4315798e-07,0.0,8.00852e-12
E01004523,Wandsworth 036E,Wandsworth,0.0,1.0,0.0,0.0,0.0,4.0,14.0,4.0,1.0,7.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0535865e-09,0.0009814848,0.0008355771,0.27936807,3.4379672e-09,4.8060028e-11
E01004524,Wandsworth 037D,Wandsworth,0.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,2.0,10.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005688052,0.0013046131,0.057165935999999994,1.0,1.3578425e-06,3.527463e-07,9.976476e-08,0.0
E01004525,Wandsworth 035A,Wandsworth,0.0,2.0,60.0,1.0,108.0,10.0,71.0,14.0,2.0,45.0,29.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,0.764988,0.00020398517,0.0586514,0.031428747,5.735637400000001e-06,3.8720988000000005e-05,1.0,0.0
E01004526,Wandsworth 035B,Wandsworth,0.0,1.0,5.0,0.0,16.0,5.0,32.0,2.0,1.0,18.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.04042344,0.0,0.16621679,1.0,0.5847100000000001,0.996088,0.1878766,0.0948942
E01004527,Wandsworth 035C,Wandsworth,0.0,7.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0054364125,0.00183182,0.43604413,1.0,2.4653731e-05,4.460196e-07,7.565042999999999e-08,0.0
E01004528,Wandsworth 035D,Wandsworth,1.0,3.0,10.0,0.0,11.0,3.0,48.0,1.0,2.0,16.0,14.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0128704235,0.0,0.0005579233,0.29265943,1.4213565e-06,0.44081268,0.91383916
E01004529,Wandsworth 035E,Wandsworth,0.0,1.0,7.0,0.0,19.0,2.0,42.0,2.0,0.0,6.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0035396127000000004,0.00076564285,0.0043077487,1.0,3.3246306e-07,0.35207406,8.60549e-07,0.0
E01004530,Wandsworth 035F,Wandsworth,0.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,1.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004531,Wandsworth 033A,Wandsworth,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2784093e-09,1.7858822e-12,0.0,0.026375753999999998,0.5411348000000001,1.0,2.1656628000000002e-07,1.2120207e-08
E01004533,Wandsworth 033B,Wandsworth,0.0,4.0,2.0,0.0,5.0,0.0,10.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004534,Wandsworth 008A,Wandsworth,0.0,2.0,5.0,1.0,11.0,2.0,38.0,2.0,0.0,26.0,12.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.2361717999999998e-08,4.4908965e-09,3.2470565e-10,1.3854415e-07,1.1269892e-12,3.9446742999999995e-16
E01004535,Wandsworth 007A,Wandsworth,0.0,2.0,0.0,0.0,2.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0057157753,0.00087308144,3.096655e-05,1.0,5.356091999999999e-07,3.7830438e-07,1.9340393e-07,0.0
E01004536,Wandsworth 008B,Wandsworth,2.0,2.0,5.0,0.0,4.0,3.0,23.0,2.0,2.0,15.0,7.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.9618914000000001,0.0,3.6936595e-05,2.5391884e-05,7.991110999999999e-06,1.979924e-05,1.0,8.923102e-06
