SWI,INTERSECT,ACCOMM,EDU,IMD2019Ind,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,DENSITY_R,DEN_0_17,DEN_18_64,DEN_65
3.0,32.0,0.0,1.0,2802.0,5.0,0.0,7.0,7.0,4.0,4.0,0.063934818842032,1129.3188875080689,1789.739289559571,166.75615151800432
1.0,56.0,0.0,0.0,9781.0,0.0,1.0,3.0,7.0,1.0,2.0,0.226889822911998,2947.3081990645396,6381.40904362022,1194.854675296435
5.0,11.0,0.0,1.0,6520.0,0.0,1.0,2.0,6.0,0.0,0.0,0.144248483770329,2985.2466416381485,6063.611068428313,1046.205703766764
2.0,51.0,0.0,2.0,5791.0,0.0,15.0,4.0,30.0,3.0,0.0,0.182028224875259,3123.885860688277,6047.155198213087,1356.5498232958266
12.0,31.0,0.0,2.0,4296.0,1.0,0.0,5.0,8.0,0.0,0.0,0.151877150386773,1971.562298646867,4565.7232179190605,1154.401609076126
5.0,24.0,0.0,3.0,10329.0,0.0,0.0,0.0,7.0,1.0,1.0,0.212027754909695,2781.643191611436,5770.689603650041,817.4126922717817
20.0,35.0,0.0,1.0,13573.0,0.0,1.0,4.0,5.0,0.0,0.0,0.267169383440963,3059.4140626596504,7227.085260262338,1274.7558594415211
5.0,13.0,0.0,2.0,10421.0,1.0,0.0,2.0,3.0,3.0,5.0,0.079448938966252,950.9159216126523,3101.448852028958,435.9583763701082
8.0,11.0,0.0,1.0,17580.0,0.0,2.0,0.0,5.0,1.0,0.0,0.134508607253831,2635.5773614352984,6141.151133441472,1141.2305856312068
17.0,28.0,0.0,2.0,13531.0,1.0,16.0,7.0,25.0,7.0,4.0,0.10854304172153,1414.4521860844884,3432.572358730035,684.4938257658863
9.0,45.0,0.0,0.0,15370.0,0.0,4.0,5.0,6.0,2.0,0.0,0.170891156873655,2637.736011888573,6073.442581995539,1030.7119710320897
6.0,30.0,0.0,0.0,3974.0,1.0,9.0,5.0,9.0,3.0,4.0,0.075288703644299,1256.979940011551,2412.5596717725507,401.77441004935423
1.0,12.0,0.0,2.0,4645.0,0.0,0.0,3.0,2.0,5.0,0.0,0.098977198966482,1989.4430406622453,3682.05976619904,657.2582692063546
4.0,13.0,0.0,0.0,5870.0,0.0,1.0,1.0,11.0,0.0,0.0,0.138968727963615,3098.238675670188,5910.953394955084,874.7968025421708
8.0,28.0,0.0,1.0,5215.0,0.0,10.0,6.0,13.0,4.0,5.0,0.085458977595192,995.5799581496744,2258.4557027286387,393.19597568946284
12.0,17.0,0.0,3.0,3967.0,0.0,10.0,5.0,9.0,1.0,0.0,0.134486824238517,2792.1340710621307,5360.208000619276,838.7892476853315
