SWI,WORK,ATTRACT,EDU,FOOD,SHOP,TRANSPORT,ACCOMM,PARK,ENTERTAIN,WORKs,ATTRACTs,EDUs,FOODs,SHOPs,TRANSPORTs,ENTERTAINs,ACCOMMs,PARKs
9.0,20.0,0.0,0.0,2.0,9.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
8.0,89.0,1.0,5.0,27.0,41.0,9.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
14.0,43.0,0.0,5.0,8.0,41.0,7.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0
23.0,118.0,1.0,4.0,26.0,22.0,11.0,0.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
1.0,10.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
8.0,182.0,2.0,10.0,24.0,36.0,8.0,1.0,0.0,8.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0
3.0,17.0,2.0,0.0,1.0,5.0,5.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0
5.0,10.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,6.0,2.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
12.0,6.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
4.0,38.0,0.0,4.0,2.0,6.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
19.0,10.0,3.0,5.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0
8.0,26.0,0.0,5.0,4.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
3.0,11.0,1.0,4.0,0.0,3.0,8.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0
7.0,7.0,27.0,3.0,2.0,1.0,33.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0
5.0,52.0,0.0,5.0,7.0,22.0,9.0,0.0,0.0,5.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0
5.0,11.0,1.0,0.0,1.0,3.0,10.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0
4.0,6.0,3.0,3.0,2.0,4.0,16.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0
22.0,111.0,0.0,6.0,22.0,85.0,12.0,1.0,0.0,8.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0
