code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb
E01033464,Brent 010F,Brent,0.0,1.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,7.0,5.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01033485,Brent 031H,Brent,0.0,3.0,17.0,1.0,21.0,4.0,30.0,1.0,2.0,13.0,9.0,30.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
E01033486,Islington 011E,Islington,0.0,3.0,12.0,0.0,3.0,2.0,12.0,4.0,4.0,12.0,10.0,12.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
E01033488,Islington 011G,Islington,0.0,6.0,4.0,0.0,6.0,5.0,20.0,4.0,1.0,8.0,6.0,20.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
E01033489,Islington 022G,Islington,1.0,1.0,20.0,1.0,24.0,4.0,159.0,2.0,0.0,6.0,4.0,159.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0
E01033490,Islington 022H,Islington,3.0,12.0,44.0,1.0,19.0,4.0,188.0,5.0,4.0,3.0,3.0,188.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
E01033491,Islington 011H,Islington,0.0,1.0,25.0,1.0,22.0,5.0,50.0,7.0,1.0,12.0,12.0,50.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0
E01033493,Islington 006F,Islington,0.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033494,Islington 006G,Islington,0.0,1.0,2.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,3.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01033569,Kingston upon Thames 004G,Kingston upon Thames,0.0,4.0,12.0,2.0,13.0,6.0,81.0,4.0,1.0,7.0,5.0,81.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
E01033570,Richmond upon Thames 004G,Richmond upon Thames,0.0,0.0,2.0,0.0,10.0,4.0,8.0,1.0,5.0,2.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
E01033571,Richmond upon Thames 004H,Richmond upon Thames,0.0,5.0,1.0,0.0,0.0,6.0,7.0,3.0,1.0,0.0,0.0,7.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
