code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01002277,Havering 002A,Havering,0.0,2.0,0.0,0.0,1.0,8.0,11.0,2.0,17.0,23.0,17.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.9222626,9.048015e-21,3.2343764e-23,6.6126103000000005e-21,2.6098175999999998e-21,9.572378e-08,0.3555732,5.5845302000000003e-14,1.0,0.0,1.7258381000000002e-12,0.22604564,7.473130999999999e-07
E01002278,Havering 001B,Havering,0.0,2.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.8640575e-38,0.091661505,6.808319e-14,0.13522717,0.08470907,0.0,0.29418656,0.0,3.4705936e-05,0.015453169,0.0,1.0
E01002279,Havering 002B,Havering,0.0,2.0,0.0,0.0,0.0,9.0,5.0,3.0,8.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.01026019,9.880190999999999e-39,6.333159499999999e-19,0.0,5.901572e-24,3.109306e-16,0.016272799999999997,1.2537426000000002e-38,3.0565862999999997e-22,1.0,0.0,0.037430987,2.0517662e-14
E01002280,Havering 004A,Havering,0.0,1.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002281,Havering 002C,Havering,0.0,2.0,6.0,0.0,9.0,9.0,16.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002282,Havering 004B,Havering,0.0,3.0,6.0,0.0,31.0,8.0,38.0,3.0,0.0,6.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002283,Havering 002D,Havering,0.0,0.0,1.0,0.0,0.0,7.0,17.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,7.845278e-15,4.9885167000000004e-21,1.4398335e-13,1.7015183e-26,6.0047545e-25,1.2359029e-14,3.5126794e-27,6.9541417e-10,0.0,3.9971655e-23,2.0164366999999998e-24,1.0,5.2159186e-07
E01002284,Havering 004C,Havering,0.0,3.0,0.0,0.0,3.0,4.0,6.0,0.0,1.0,7.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9091883,0.0,0.00048496525,1.5358132e-24,0.017391501,1.569769e-07,1.0,3.0515985e-05,2.854617e-13,4.4571535e-16,2.9264105e-05,4.7913636e-20,2.8767165999999997e-11
E01002285,Havering 025B,Havering,0.0,6.0,2.0,0.0,3.0,5.0,13.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.057681977999999995,3.309035e-15,0.00018313531000000002,4.655477e-18,0.0,0.012521527,0.036711175,1.84486e-18,0.014192538999999999,7.186967e-11,0.02287628,1.0,0.024369122000000003
E01002289,Havering 022B,Havering,0.0,1.0,6.0,0.0,5.0,0.0,14.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.124341644,1.0,0.0,3.4866224e-14,0.021518191000000002,4.6643290000000006e-06,7.366699999999999e-06,9.109358e-12,0.018846154,1.5501796000000002e-22,0.007837503000000001,0.038858596,5.9682965e-09
