code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01002158,Harrow 019D,Harrow,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002159,Harrow 021A,Harrow,0.0,0.0,2.0,0.0,3.0,1.0,18.0,5.0,0.0,2.0,2.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.944635e-06,1.0,9.2947834e-05,4.086575999999999e-09,6.36826e-13,6.5743457e-06,1.2993603e-07,1.5150626e-13,1.6099703e-08,3.1401024e-11,1.338039e-09,5.6909460000000005e-08,0.0
E01002166,Harrow 017B,Harrow,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002168,Harrow 017D,Harrow,0.0,4.0,1.0,0.0,1.0,0.0,9.0,2.0,2.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.447009e-06,1.6209824e-13,0.0,2.2878371000000002e-10,1.6630393999999998e-06,2.4375442e-09,1.8220038e-09,1.0,0.00010295452,0.22172640000000002,1.1293058e-11,3.230302e-14,0.0057487614
E01002176,Harrow 033G,Harrow,1.0,4.0,5.0,2.0,17.0,2.0,33.0,3.0,0.0,2.0,2.0,33.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,8.6226885e-12,1.0,0.0008654527000000001,0.003993914,0.0,2.0380623e-06,1.4953187e-06,1.6869947e-14,1.2205216e-07,9.002136e-13,6.972457e-10,6.121790999999999e-07,7.720918e-15
E01002188,Harrow 016A,Harrow,0.0,4.0,1.0,0.0,2.0,0.0,22.0,4.0,2.0,0.0,0.0,22.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002195,Harrow 022C,Harrow,0.0,2.0,4.0,0.0,5.0,8.0,22.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002197,Harrow 012B,Harrow,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,2.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26062876,9.476154e-08,3.415034e-05,4.6564197e-05,0.5283321,0.0,5.646885000000001e-09,0.5260845999999999,0.0457149,1.0,0.40473059999999994,0.00016215959999999998,0.23999073
E01002207,Harrow 032C,Harrow,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002224,Harrow 031E,Harrow,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002234,Harrow 011C,Harrow,0.0,0.0,0.0,0.0,7.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002238,Harrow 024B,Harrow,0.0,3.0,1.0,1.0,4.0,5.0,19.0,2.0,0.0,0.0,0.0,19.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002255,Havering 022A,Havering,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.348418000000001e-11,6.5827669999999995e-09,0.0,2.0907608e-05,3.4746517999999998e-12,1.7456881999999998e-08,3.2585206e-08,2.9462214e-08,1.897507e-06,1.0837615e-05,1.6004897e-10,2.1035198e-07
E01002256,Havering 018B,Havering,0.0,2.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,13.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002262,Havering 026C,Havering,0.0,2.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,2.0,2.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002271,Havering 015B,Havering,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,6.0,3.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.404354e-08,0.0,3.3197333e-16,9.0468415e-09,4.9935676e-12,8.744018000000001e-11,6.05578e-13,4.2730886e-07,0.005004505,1.0,4.712435e-13,3.2095040000000003e-15,2.083527e-13
E01002275,Havering 015D,Havering,0.0,0.0,1.0,1.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002286,Havering 025C,Havering,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.6226885e-12,1.0,0.0008654527000000001,0.003993914,0.0,2.0380623e-06,1.4953187e-06,1.6869947e-14,1.2205216e-07,9.002136e-13,6.972457e-10,6.121790999999999e-07,7.720918e-15
E01002287,Havering 023A,Havering,0.0,3.0,6.0,0.0,5.0,1.0,15.0,2.0,0.0,3.0,3.0,15.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6753503000000001,1.4825395000000001e-06,5.0794910000000005e-09,0.00013494214,2.0908913e-06,4.178925e-09,1.2644366e-05,0.43009189999999997,0.00383936,1.0,0.0,8.729135e-09,0.007888595
E01002288,Havering 025D,Havering,0.0,1.0,0.0,0.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002290,Havering 025E,Havering,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002295,Havering 010C,Havering,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002297,Havering 004D,Havering,0.0,0.0,2.0,0.0,6.0,3.0,22.0,2.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8.6226885e-12,1.0,0.0008654527000000001,0.003993914,0.0,2.0380623e-06,1.4953187e-06,1.6869947e-14,1.2205216e-07,9.002136e-13,6.972457e-10,6.121790999999999e-07,7.720918e-15
E01002299,Havering 002E,Havering,0.0,1.0,1.0,0.0,1.0,9.0,6.0,0.0,0.0,5.0,5.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6777409000000001,1.071271e-06,0.0,7.8041805e-05,2.127207e-06,7.336869e-08,4.4097332999999996e-06,0.91831666,0.0026801012,1.0,2.1898793e-10,5.8389777e-09,0.023477715
E01002305,Havering 005B,Havering,0.0,1.0,0.0,1.0,2.0,3.0,15.0,0.0,9.0,0.0,0.0,15.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002309,Havering 006A,Havering,0.0,1.0,0.0,0.0,4.0,6.0,9.0,0.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.4190431000000002e-08,0.0,4.994287299999999e-16,3.3766483e-09,4.6233410000000005e-12,3.615445e-10,1.2175546e-09,3.1484376e-07,1.8905817e-08,1.0,6.304466999999999e-13,7.0288043e-15,7.0404603e-13
E01002312,Havering 001C,Havering,0.0,3.0,1.0,0.0,0.0,6.0,10.0,5.0,2.0,6.0,4.0,10.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.363472e-11,0.48229185,0.41140142,0.0009410688699999999,0.0,0.00015054878999999998,0.075074814,4.7039706e-05,6.98395e-07,1.6892751e-11,1.7700454999999998e-05,1.0,0.000258256
E01002314,Havering 004E,Havering,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,2.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0005376797,2.490271e-07,3.4658472999999994e-08,6.318106e-08,1.0,0.0,1.6726455e-09,0.00025955215,0.0009781416,0.10870193,0.026879373999999998,1.3727334e-09,0.0025958025
E01002323,Havering 021D,Havering,0.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1644e-05,3.825878e-07,0.00024384745,1.3668331e-06,6.596115e-09,2.5101095e-08,0.0,3.620696e-09,1.7599981000000002e-10,1.2240821e-09,4.4382592000000005e-12,5.365319e-11
E01002324,Havering 021E,Havering,0.0,2.0,0.0,0.0,1.0,0.0,13.0,3.0,2.0,0.0,0.0,13.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002335,Havering 009D,Havering,0.0,2.0,1.0,0.0,2.0,2.0,14.0,1.0,0.0,6.0,2.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12401385599999999,0.08269030599999999,1.2471505999999999e-05,0.047760665,3.4786055e-10,6.4743837e-09,0.08130829,6.691779e-07,0.16147858,1.0,1.2723923e-10,4.669451e-10,0.0
E01002339,Havering 008D,Havering,0.0,3.0,0.0,0.0,2.0,4.0,12.0,1.0,3.0,4.0,4.0,12.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0041183364,1.4975204000000002e-07,3.0638046000000005e-07,4.5348124e-06,1.0,0.0,1.2645610000000001e-09,0.0072882385,9.464912e-08,0.00031610965,4.3749635e-05,1.7782386999999998e-10,5.4833035e-05
