code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004281,Tower Hamlets 031D,Tower Hamlets,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004283,Tower Hamlets 016A,Tower Hamlets,0.0,0.0,2.0,0.0,2.0,1.0,14.0,1.0,1.0,3.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004284,Tower Hamlets 019A,Tower Hamlets,0.0,6.0,0.0,0.0,2.0,6.0,6.0,1.0,5.0,9.0,7.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.023948e-07,2.6361426000000003e-05,3.7191452999999997e-06,8.66588e-05,0.0,1.0336238e-06,1.8179130999999998e-07
E01004285,Tower Hamlets 019B,Tower Hamlets,0.0,2.0,4.0,0.0,10.0,1.0,12.0,0.0,4.0,13.0,13.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.14121024,0.08498455,0.0,0.59600997,0.009272296999999999,1.0,0.30070624,0.18985565
E01004286,Tower Hamlets 019C,Tower Hamlets,0.0,2.0,10.0,0.0,4.0,2.0,25.0,0.0,4.0,4.0,4.0,25.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0014729513,2.2265747e-06,0.00029438654999999997,1.0,0.0036976133000000003,0.0,0.012391712,4.7984160000000004e-05
E01004287,Tower Hamlets 016B,Tower Hamlets,0.0,0.0,1.0,0.0,3.0,2.0,10.0,0.0,0.0,8.0,6.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04881192,3.3512689999999998e-06,4.906665e-07,0.026188033,1.0,2.7370628000000002e-05,5.5243737e-07,0.0
E01004288,Tower Hamlets 019D,Tower Hamlets,0.0,2.0,1.0,0.0,5.0,1.0,11.0,2.0,0.0,4.0,4.0,11.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0007720091000000001,5.445965e-05,3.5226482999999994e-06,8.807870500000001e-05,0.0,9.799811e-07,2.7669209999999997e-07
E01004289,Tower Hamlets 016C,Tower Hamlets,0.0,1.0,3.0,0.0,5.0,3.0,6.0,0.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004290,Tower Hamlets 016D,Tower Hamlets,0.0,7.0,21.0,0.0,21.0,4.0,41.0,2.0,2.0,20.0,18.0,41.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.10449904,2.9213332e-08,0.0,0.012915186,8.245703e-06,0.53660107,1.8419489999999998e-05,1.0
E01004291,Tower Hamlets 027A,Tower Hamlets,0.0,2.0,11.0,0.0,5.0,8.0,28.0,1.0,6.0,0.0,0.0,28.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004292,Tower Hamlets 026A,Tower Hamlets,0.0,2.0,1.0,0.0,4.0,3.0,24.0,3.0,2.0,0.0,0.0,24.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004293,Tower Hamlets 027B,Tower Hamlets,2.0,8.0,33.0,1.0,8.0,12.0,73.0,8.0,19.0,26.0,18.0,73.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0006184229,7.656543e-05,5.3493104e-06,0.00016200511999999999,0.0,1.5222574e-05,0.0001105797
E01004294,Tower Hamlets 026B,Tower Hamlets,1.0,6.0,11.0,2.0,15.0,5.0,73.0,3.0,4.0,25.0,21.0,73.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.50487137,0.00013525398000000002,0.0,0.012345765,0.00022653866000000002,1.0,4.3329000000000005e-06,0.0007992236
